profile_id,zip_code,sub_profile_type,service_ids_json,commonCaregiverProfile_id,commonCaregiverProfile_repeatClientsCount,commonCaregiverProfile_merchandizedJobInterests_flags_json
06a3cddc-684d-45ae-8bcc-67750a581e95,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
06b52f5b-ca9e-42ce-b309-9d84c17c423e,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""SENIOR_CARE""]",17090164,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant""]"
06b5764b-d72a-4964-9cf4-7004d6bec359,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""TUTORING""]",25195081,0.0,"[""dateNight""]"
07636941-7529-4f49-9810-e60d8f2c9836,07008,commonCaregiverProfile,"[""CHILD_CARE""]",30952140,0.0,"[""dateNight"", ""lightCleaning""]"
078f2552-a756-4cb8-8dec-dacda5aaddaf,07008,commonCaregiverProfile,"[""CHILD_CARE""]",35601954,0.0,[]
0792b48c-2941-4edc-93a9-04d384cf0a6b,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE"", ""SENIOR_CARE""]",8853631,0.0,"[""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""transportation""]"
07ad0cfd-b238-42d2-9724-2e773901c306,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE""]",35514434,0.0,[]
07d7b78f-3ac4-4af2-b0df-600ba7a5409b,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE""]",3978068,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""shopping"", ""transportation""]"
07dfad2e-8d1b-4277-913e-36dc285caaf4,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",16599738,0.0,[]
083509ad-5a1d-44c7-8cde-04119caadd39,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""TUTORING""]",35608630,0.0,[]
08436d71-4155-4983-b001-476443d66610,07008,commonCaregiverProfile,"[""CHILD_CARE""]",33139163,0.0,[]
084fddee-9ec8-4f36-9bba-eb23de22e1a8,07008,commonCaregiverProfile,"[""HOUSEKEEPING"", ""PET_CARE"", ""SENIOR_CARE""]",,0.0,[]
085a5093-fff4-4dc1-9065-a5a85e00b929,07008,commonCaregiverProfile,"[""CHILD_CARE""]",34712290,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""petHelp"", ""shopping"", ""transportation""]"
08ade49a-f852-4461-96ca-6f1eab477e9e,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""TUTORING""]",18552524,0.0,"[""dateNight"", ""lightCleaning"", ""personalAssistant""]"
08bac6de-ea75-4799-a7e4-6995ddbd2086,07008,commonCaregiverProfile,"[""HOUSEKEEPING"", ""SENIOR_CARE""]",4576471,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""shopping""]"
08bcb17b-7ec8-4dc0-a685-292f14200932,07008,commonCaregiverProfile,"[""CHILD_CARE""]",10350171,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant""]"
08ce0e73-a7b6-4b34-a526-e31e5a264273,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
08fb3691-39b9-41b9-81fe-f8f87efeb829,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
0935c07b-1ff5-4dc3-a239-e4fd9a757c4f,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE""]",35867486,0.0,[]
09615a9e-63a0-4db5-ba0f-1ec1f6ba1bce,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
09651bae-9069-422c-99ea-02f919b5d7c2,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
0977fa1e-00f8-4dcd-8d21-6d3792d6a791,07008,commonCaregiverProfile,"[""CHILD_CARE""]",31738341,0.0,[]
098be071-0aa3-4100-80fb-eeeab552c221,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE"", ""SENIOR_CARE""]",35728451,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
09a07c7f-d209-415a-b734-4d4a435b0b40,07008,commonCaregiverProfile,"[""HOUSEKEEPING""]",,0.0,[]
09d79390-807f-4d3e-8d09-647f6abd24fe,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
0a0d6510-f6ae-4094-b102-d0176fb5f180,07008,commonCaregiverProfile,"[""CHILD_CARE""]",28659870,0.0,"[""dateNight"", ""lightCleaning"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
