profile_service_pk,profile_id,service_offered
245,5e8cd92a38e8d0019730f6ac,Cozinhar
246,5e8cd92a38e8d0019730f6ac,Passar
247,5e8cd92a38e8d0019730f6ac,Vidros e Fachadas
248,5e8cd92a38e8d0019730f6ac,Organizar
249,5e8dc68326e74e001e351134,Faxinar
250,5e8dc68326e74e001e351134,Passar
251,5e8dc68326e74e001e351134,Lavar
252,5e8f39304a2d91001e18a741,Faxinar
253,5e90c22df6700c001e8e9bd3,Faxinar
254,5e90c22df6700c001e8e9bd3,Passar
255,5e90c22df6700c001e8e9bd3,Cozinhar
256,5e90c22df6700c001e8e9bd3,Lavar
257,5e96cd66aaf15a001e9471bc,Faxinar
258,5e96cd66aaf15a001e9471bc,Passar
259,5e96cd66aaf15a001e9471bc,Organizar
260,5e98d27c3013f3001eab2932,Faxinar
261,5e98d27c3013f3001eab2932,Organizar
262,5e9ae91a6a8fbb001e7f8898,Faxinar
263,5e9ae91a6a8fbb001e7f8898,Passar
264,5e9ae91a6a8fbb001e7f8898,Organizar
265,5e9ae91a6a8fbb001e7f8898,Lavar
266,5e9ba616ace58f001e37fcab,Faxinar
267,5e9ba616ace58f001e37fcab,Organizar
268,5e9ba616ace58f001e37fcab,Lavar
269,5e9dc184dce2010124727415,Lavar
270,5e9dc184dce2010124727415,Faxinar
271,5e9dc184dce2010124727415,Passar
272,5e9dc184dce2010124727415,Organizar
273,5e9dfa9519b77a001e32d072,Faxinar
274,5e9f6b1513836d001ee09dcd,Faxinar
275,5ea7fdeb68acec001ef98931,Faxinar
276,5ea86d432ae71803e4849d5f,Faxinar
277,5ea86d432ae71803e4849d5f,Cozinhar
278,5ea86d432ae71803e4849d5f,Passar
279,5ea86d432ae71803e4849d5f,Lavar
280,5ea86d432ae71803e4849d5f,Limpeza Pós-Obra
281,5ea8d1252ae71803e484a9ad,Faxinar
282,5ea8dc062ae71803e484ab55,Faxinar
283,5ea8dc062ae71803e484ab55,Lavar
284,5ea8dc062ae71803e484ab55,Limpeza Residencial
285,5ea8dc062ae71803e484ab55,Organizar
286,5ea8dc062ae71803e484ab55,Limpeza Pós-Obra
287,5ea8dc062ae71803e484ab55,Higienização e Impermeabilização de Estofados
288,5ea8dc062ae71803e484ab55,Vidros e Fachadas
289,5ea8dc062ae71803e484ab55,Pisos e Pedras Naturais
290,5eab4b847eadce001e98eb33,Faxinar
291,5eab4b847eadce001e98eb33,Passar
292,5eb89b082d8711001eb4a4d0,Cozinhar
293,5eb89b082d8711001eb4a4d0,Faxinar
294,5eb89b082d8711001eb4a4d0,Passar
295,5eb89b082d8711001eb4a4d0,Lavar
296,5ec40f03884c42001ea2564f,Faxinar
297,5ec40f03884c42001ea2564f,Organizar
298,5ec40f03884c42001ea2564f,Limpeza Residencial
299,5ec40f03884c42001ea2564f,Limpeza Pós-Obra
300,5ec40f03884c42001ea2564f,Pisos e Pedras Naturais
301,5ec40f03884c42001ea2564f,Vidros e Fachadas
302,5ec43c6a884c42001ea25684,Cozinhar
303,5ec43c6a884c42001ea25684,Faxinar
304,5ec43c6a884c42001ea25684,Organizar
305,5ecc23edff277f001ef50551,Lavar
306,5ecc23edff277f001ef50551,Passar
307,5ecc23edff277f001ef50551,Faxinar
308,5ecc23edff277f001ef50551,Organizar
309,5ecff4483774c8001ef20fab,Faxinar
310,5ecff4483774c8001ef20fab,Passar
311,5ed5397210b60a001eea7c33,Faxinar
312,5ed5397210b60a001eea7c33,Lavar
313,5ed5397210b60a001eea7c33,Passar
314,5ed5397210b60a001eea7c33,Organizar
315,5ed5397210b60a001eea7c33,Cozinhar
316,5ed66e334af060001e17ea05,Faxinar
317,5ed66e334af060001e17ea05,Passar
318,5ed66e334af060001e17ea05,Lavar
319,5ed6b9811c0f11012d6f1d2a,Cozinhar
320,5ed6b9811c0f11012d6f1d2a,Lavar
321,5ed6b9811c0f11012d6f1d2a,Faxinar
322,5ed6b9811c0f11012d6f1d2a,Passar
323,5ed6b9811c0f11012d6f1d2a,Organizar
324,5ee1411913287c012f286a77,Faxinar
325,5ee1411913287c012f286a77,Limpeza Residencial
326,5ee1411913287c012f286a77,Lavar
327,5ee1411913287c012f286a77,Passar
328,5ee510eea78b7400ce61c88d,Cozinhar
329,5ee510eea78b7400ce61c88d,Lavar
330,5ee510eea78b7400ce61c88d,Faxinar
331,5ee510eea78b7400ce61c88d,Passar
332,5eea3e94d794de001e5f4a1b,Faxinar
333,5eea3e94d794de001e5f4a1b,Passar
334,5eea3e94d794de001e5f4a1b,Lavar
335,5eea3e94d794de001e5f4a1b,Organizar
336,5ef1fa1ca94ee2001e775bff,Faxinar
337,5f1e0192a7d6ee001e5fec82,Cozinhar
338,5f1e0192a7d6ee001e5fec82,Faxinar
339,5f1e0192a7d6ee001e5fec82,Lavar
340,5f1e0192a7d6ee001e5fec82,Organizar
341,5f21bffc2376de001e7bf537,Faxinar
342,5f21bffc2376de001e7bf537,Passar
343,5f21bffc2376de001e7bf537,Lavar
344,5f21e5432376de001e7bfb2a,Faxinar
345,5f21e5432376de001e7bfb2a,Organizar
346,5f21e7762376de001e7bfbaa,Passar
347,5f21e7762376de001e7bfbaa,Faxinar
348,5f2225eb2376de001e7c0277,Faxinar
349,5f2225eb2376de001e7c0277,Lavar
350,5f2225eb2376de001e7c0277,Passar
351,5f2225eb2376de001e7c0277,Organizar
352,5f2225eb2376de001e7c0277,Cozinhar
353,5f22377bed0d29001ee08906,Cozinhar
354,5f22377bed0d29001ee08906,Lavar
355,5f22377bed0d29001ee08906,Faxinar
356,5f22377bed0d29001ee08906,Organizar
357,5f2240c8ed0d29001ee089a3,Faxinar
358,5f2240c8ed0d29001ee089a3,Lavar
359,5f2240c8ed0d29001ee089a3,Organizar
360,5f2240c8ed0d29001ee089a3,Cozinhar
361,5f2240c8ed0d29001ee089a3,Limpeza Pós-Obra
362,5f2240c8ed0d29001ee089a3,Detalhamento Automotivo
363,5f2240c8ed0d29001ee089a3,Limpeza Residencial
364,5f2240c8ed0d29001ee089a3,Vidros e Fachadas
365,5f2240c8ed0d29001ee089a3,Pisos e Pedras Naturais
366,5f2240c8ed0d29001ee089a3,Higienização e Impermeabilização de Estofados
367,5f2240c8ed0d29001ee089a3,Passar
368,5f273d5e3de6be001eb4eb32,Faxinar
369,5f27f2d33de6be001eb4ecd9,Faxinar
370,5f27f2d33de6be001eb4ecd9,Passar
371,5f27f2d33de6be001eb4ecd9,Organizar
372,5f27f2d33de6be001eb4ecd9,Limpeza Residencial
373,5f28b5ea0fcd46001e946a54,Faxinar
374,5f28b5ea0fcd46001e946a54,Organizar
375,5f28cacd0fcd46001e946e2c,Faxinar
376,5f28cacd0fcd46001e946e2c,Passar
377,5f28cacd0fcd46001e946e2c,Lavar
378,5f28d8aa0fcd46001e946f62,Faxinar
379,5f28fff50fcd46001e947062,Faxinar
380,5f28fff50fcd46001e947062,Passar
381,5f2aadef744fb8001ecf288e,Passar
382,5f2aadef744fb8001ecf288e,Faxinar
383,5f2aadef744fb8001ecf288e,Organizar
384,5f2aadef744fb8001ecf288e,Cozinhar
385,5f2aadef744fb8001ecf288e,Limpeza Pós-Obra
386,5f2aadef744fb8001ecf288e,Limpeza Residencial
387,5f2aaeb0744fb8001ecf28b4,Faxinar
388,5f2aaeb0744fb8001ecf28b4,Passar
389,5f2aaeb0744fb8001ecf28b4,Organizar
390,5f2b29e5f8448c001ebf0d47,Faxinar
391,5f2b29e5f8448c001ebf0d47,Cozinhar
392,5f2b29e5f8448c001ebf0d47,Passar
393,5f2b6765f8448c001ebf0f28,Cozinhar
394,5f2b6765f8448c001ebf0f28,Passar
395,5f2b6765f8448c001ebf0f28,Organizar
396,5f2b6765f8448c001ebf0f28,Faxinar
397,5f2b6765f8448c001ebf0f28,Lavar
398,5f2c1379a53e6a001ec55a2b,Faxinar
399,5f2c1379a53e6a001ec55a2b,Passar
400,5f2c1379a53e6a001ec55a2b,Organizar
401,5f33230dd58b2c001e9b3c2b,Faxinar
402,5f33230dd58b2c001e9b3c2b,Passar
403,5f33230dd58b2c001e9b3c2b,Lavar
404,5f33230dd58b2c001e9b3c2b,Organizar
405,5f33230dd58b2c001e9b3c2b,Limpeza Pós-Obra
406,5f33230dd58b2c001e9b3c2b,Limpeza Residencial
407,5f33ef592f32a8001e405e51,Faxinar
408,5f33ef592f32a8001e405e51,Organizar
409,5f33ef592f32a8001e405e51,Lavar
410,5f35b56b15551a001e86a23f,Faxinar
411,5f35b56b15551a001e86a23f,Limpeza Residencial
412,5f35b56b15551a001e86a23f,Organizar
413,5f381dccfc607f001e4b16ca,Faxinar
414,5f381dccfc607f001e4b16ca,Passar
415,5f381dccfc607f001e4b16ca,Lavar
416,5f3d56faaf0ee8001e8bd6ac,Faxinar
417,5f3d56faaf0ee8001e8bd6ac,Cozinhar
418,5f3d56faaf0ee8001e8bd6ac,Passar
419,5f3d56faaf0ee8001e8bd6ac,Lavar
420,5f429c7f3cfe70001e59d29f,Faxinar
421,5f429c7f3cfe70001e59d29f,Passar
422,5f42dd6e3cfe70001e59d2c1,Cozinhar
423,5f42dd6e3cfe70001e59d2c1,Lavar
